player_id,player_name,first_name,team,position,price,avg_rating,avg_points,status,games_played,started_matches,last_5_ratings,total_goals,clean_sheets,goals_conceded,yellow_cards,red_cards
mpg_championship_player_100952,Mvogo,Yvon,mpg_championship_club_694,GK,15,5.183333333333334,5.28,Disponible,30,30,"[4.5, 6.5, 4, 5.5, 6]",0,6,41,0,0
mpg_championship_player_102747,Sidibé,Djibril,mpg_championship_club_427,DF,14,5.078125,5.08,Disponible,33,25,"[3.5, 5, None, 5.5, 4.5]",3,0,0,1,0
mpg_championship_player_102760,Sarr,Bouna,mpg_championship_club_145,MF,7,4.636363636363637,4.59,Disponible,13,9,"[6, 5, 4, 5, 3]",0,0,0,1,0
mpg_championship_player_102836,Samba,Brice,mpg_championship_club_150,GK,16,5.359375,5.35,Disponible,33,32,"[7, 6, 7, 4, 4.5]",0,10,44,5,0
mpg_championship_player_103116,Léon,Donovan,mpg_championship_club_138,GK,16,5.375,5.23,Disponible,33,28,"[6.5, 4.5, None, None, 4.5]",0,7,35,0,2
mpg_championship_player_105717,Masuaku,Arthur,mpg_championship_club_142,DF,1,4.5,4.54,Disponible,14,2,"[None, 5, 3.5, None, None]",0,0,0,1,0
mpg_championship_player_106921,Rulli,Gerónimo,mpg_championship_club_144,GK,14,5.5,5.45,Disponible,33,28,"[5, 4, 4.5, None, 6.5]",0,8,33,3,0
mpg_championship_player_107258,Abergel,Laurent,mpg_championship_club_694,MF,7,5.092592592592593,5.19,Disponible,33,26,"[None, 5.5, 3.5, 5, 6.5]",1,0,0,6,0
mpg_championship_player_107925,Caillard,Marc-Aurèle,mpg_championship_club_429,GK,3,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_109533,Emerson,,mpg_championship_club_144,DF,10,5.203703703703703,5.56,Disponible,30,22,"[None, 5.5, 5, 3.5, 6]",0,0,0,3,0
mpg_championship_player_112580,Capelle,Pierrick,mpg_championship_club_2128,MF,8,5.066666666666666,4.57,Disponible,33,5,"[4.5, 5.5, 4.5, 4.5, 5.5]",0,0,0,2,0
mpg_championship_player_115327,Aguilar,Ruben,mpg_championship_club_142,DF,9,5.3,5.35,Disponible,33,20,"[5, None, 5, 5, 5]",2,0,0,3,1
mpg_championship_player_115858,Ghezzal,Rachid,mpg_championship_club_143,MF,5,4.45,4.38,Disponible,30,2,"[5, None, None, None, None]",0,0,0,0,0
mpg_championship_player_115961,Thomasson,Adrien,mpg_championship_club_142,MF,15,5.580645161290323,5.61,Disponible,33,31,"[4, 7, 4.5, 6, None]",3,0,0,11,0
mpg_championship_player_116406,Marquinhos,,mpg_championship_club_149,DF,7,5.461538461538462,5.99,Disponible,33,10,"[None, None, None, None, 6]",0,0,0,0,0
mpg_championship_player_119582,Julien Lopez,Julien,mpg_championship_club_2338,MF,1,4.4,4.18,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_122775,Sanson,Morgan,mpg_championship_club_1395,MF,8,4.8,4.52,Disponible,33,19,"[5.5, None, 4.5, 4.5, 4.5]",0,0,0,4,0
mpg_championship_player_126407,Bentaleb,Nabil,mpg_championship_club_429,MF,15,5.42,5.34,Disponible,33,12,"[6.5, None, None, None, 5.5]",2,0,0,3,0
mpg_championship_player_128198,Boufal,Sofiane,mpg_championship_club_141,MF,12,5.3125,5.19,Disponible,16,12,"[5, 6.5, 5, 6, 4]",1,0,0,2,0
mpg_championship_player_130016,Radakovic,Uros,mpg_championship_club_430,DF,1,5.0,4.97,Disponible,33,1,"[None, None, None, 5, 5.5]",0,0,0,0,0
mpg_championship_player_132015,Højbjerg,Pierre-Emile,mpg_championship_club_144,MF,15,5.435483870967742,5.85,Disponible,33,29,"[5, 3.5, 7, 3.5, 6]",3,0,0,3,0
mpg_championship_player_140040,Frankowski,Przemyslaw,mpg_championship_club_150,DF,8,5.052631578947368,5.31,Disponible,33,15,"[4, None, None, None, None]",1,0,0,5,0
mpg_championship_player_141109,Lloris,Gautier,mpg_championship_club_141,DF,12,5.25,5.55,Disponible,33,27,"[5, 5, 4.5, 6, 4.5]",1,0,0,2,1
mpg_championship_player_149736,Mbemba,Chancel,mpg_championship_club_429,DF,6,5.153846153846154,5.56,Disponible,30,9,"[None, 6, None, None, None]",0,0,0,3,0
mpg_championship_player_153134,Kamara,Glen,mpg_championship_club_150,MF,1,5.0,4.63,Disponible,33,0,"[None, 5, None, None, None]",0,0,0,0,0
mpg_championship_player_154043,Maitland-Niles,Ainsley,mpg_championship_club_143,DF,10,5.0344827586206895,5.37,Disponible,33,27,"[5, 5.5, 5, 5, 4.5]",1,0,0,5,1
mpg_championship_player_157882,Minamino,Takumi,mpg_championship_club_146,MF,1,5.2,5.02,Disponible,33,11,"[None, None, None, None, None]",3,0,0,4,0
mpg_championship_player_158496,Touré,Abdoulaye,mpg_championship_club_141,MF,1,5.363636363636363,4.99,Disponible,33,8,"[None, None, None, None, None]",2,0,0,2,0
mpg_championship_player_160987,Gbamin,Jean-Philippe,mpg_championship_club_145,DF,9,4.466666666666667,4.85,Disponible,33,30,"[3, 4.5, 4.5, 5, 4]",1,0,0,2,1
mpg_championship_player_161034,Saïd,Wesley,mpg_championship_club_142,FW,18,5.75,5.29,Disponible,33,25,"[4.5, 4.5, 4.5, None, 5.5]",10,0,0,2,0
mpg_championship_player_161950,Golovin,Aleksandr,mpg_championship_club_146,MF,17,5.5,5.21,Disponible,33,21,"[None, 4.5, 4.5, 5, 5]",5,0,0,2,1
mpg_championship_player_162316,Chardonnet,Brendan,mpg_championship_club_862,DF,15,5.196428571428571,5.5,Disponible,33,28,"[None, 7, 4.5, 3, None]",1,0,0,5,0
mpg_championship_player_167040,Carlgren,Patrik,mpg_championship_club_430,GK,7,6.0,6.23,Disponible,33,2,"[None, None, None, 8, None]",0,1,2,0,0
mpg_championship_player_168539,Ajorque,Ludovic,mpg_championship_club_862,FW,22,5.306451612903226,5.37,Disponible,33,31,"[6.5, 4.5, 6, 3, 4]",8,0,0,9,1
mpg_championship_player_168568,Tolisso,Corentin,mpg_championship_club_143,MF,28,5.913793103448276,5.74,Disponible,33,25,"[7, None, 7.5, 8, 5.5]",11,0,0,5,0
mpg_championship_player_170135,Hateboer,Hans,mpg_championship_club_143,DF,7,4.666666666666667,4.56,Disponible,36,8,"[None, 5, None, None, None]",0,0,0,0,1
mpg_championship_player_170137,Saint-Maximin,Allan,mpg_championship_club_142,MF,9,5.5,5.91,Disponible,13,2,"[5, 6, 7, 6, None]",3,0,0,0,0
